name,category,latitude,longitude,distance_from_center_km
Parking Quai branly-Tour Eiffel,amenity,48.8614418,2.2990188,0.4848944385913564
Linette,amenity,48.8600296,2.3006336,0.49117762719331415
,amenity,48.8544507,2.2963604,0.44505132316402846
Paris Champ de Mars,amenity,48.8586271,2.3007824,0.4627570019509199
La Banque Postale,amenity,48.8585778,2.3007057,0.45669420609418415
Crédit du Nord,amenity,48.8579137,2.300566,0.4467377763491044
G20,shop,48.8579464,2.3012012,0.492920651482828
Vedettes de Paris,tourism,48.858344,2.2912461,0.2389954657904322
,amenity,48.8604607,2.298845,0.40189740960514986
,amenity,48.8567887,2.2922671,0.23157935988660644
,amenity,48.8592448,2.2975553,0.24947788452439376
,amenity,48.8574335,2.3003649,0.4400252166037608
,amenity,48.8603949,2.2955478,0.2495518281693977
,amenity,48.8608229,2.3010496,0.5587172113353222
Théâtre de Chaillot,amenity,48.8626783,2.2885551,0.6570782864440036
,amenity,48.8577356,2.2946051,0.058807905369217775
Toilette Tour Eiffel,amenity,48.8584294,2.2957348,0.09250528199961264
Pharmacie Brisebarre,amenity,48.8597553,2.3011269,0.5138778313490396
20 Eiffel,amenity,48.8594682,2.298537,0.32523957106968376
II Sorrentino,amenity,48.8598224,2.3002796,0.4582715207204759
Maison Bergeron,shop,48.8585031,2.3006826,0.45443462443055666
Hôtel Le Derby Alma,tourism,48.8604399,2.3007825,0.5208152735061824
Piscine Émile Anthoine,leisure,48.8557538,2.2906075,0.3991042741430981
,amenity,48.8612367,2.2900259,0.4662568442952785
Restaurant Doïna,amenity,48.8577097,2.3005438,0.44764887283593907
Café Le Dôme,amenity,48.8576592,2.3004661,0.44281403799386715
Castel Cafe,amenity,48.8569007,2.2922198,0.22551787102570112
Cabinet Catherine Gaucher,amenity,48.8553008,2.2946828,0.329344020602276
,amenity,48.8570439,2.299776,0.41004895687937915
,amenity,48.8573877,2.299831,0.40299070825436856
,amenity,48.8573425,2.2993073,0.3671732909905797
,leisure,48.8554539,2.3007775,0.5563557843131003
,amenity,48.8551025,2.2959032,0.36589916649766235
Général Diego Brosset,historic,48.8550574,2.2889995,0.5383240561474465
Castorama,shop,48.8539792,2.2896821,0.5929969019629523
Esplanade du Trocadéro,tourism,48.8619948,2.2887325,0.5929989132565532
,amenity,48.8559534,2.2977174,0.34858577591916073
,amenity,48.8562043,2.2980933,0.3489411728564852
,leisure,48.8538749,2.300095,0.637440571652319
,tourism,48.8559251,2.2895151,0.4486149052734083
,tourism,48.8560125,2.2893473,0.45328063853304557
,amenity,48.8560314,2.2895634,0.4389480137260933
,tourism,48.8560525,2.2893655,0.44972351270437855
,tourism,48.8560604,2.2895766,0.4363327778064588
,tourism,48.8560962,2.2893853,0.4458653755564636
,amenity,48.8561366,2.2896103,0.4295712796549705
,amenity,48.8562011,2.2894329,0.43670100336364426
,amenity,48.856221,2.2896487,0.4221047786302829
,amenity,48.8562725,2.2894653,0.4305486545398745
,amenity,48.8563194,2.2896935,0.4135208898847026
,tourism,48.8563737,2.2895113,0.4219488675122312
,tourism,48.8564351,2.2895391,0.41681316600878016
,tourism,48.8564675,2.2897609,0.400870745472672
,amenity,48.8564892,2.2897708,0.3990442217438275
,amenity,48.856553,2.2895926,0.4071120616472086
,amenity,48.8566224,2.2896242,0.4015031536025177
,amenity,48.8566342,2.2898368,0.38704921020373895
,amenity,48.8566703,2.2896459,0.39768824457713564
,amenity,48.8566677,2.289852,0.3843327502173833
,amenity,48.8567155,2.2896664,0.3941249048085579
,tourism,48.8567642,2.2898959,0.37661510288207306
,amenity,48.8567743,2.2896931,0.3895442824110318
,amenity,48.856856,2.2897302,0.38329056712246984
,tourism,48.8568798,2.2899603,0.3668189364039295
,amenity,48.8569227,2.2899951,0.3625180486879241
,amenity,48.8569703,2.2900336,0.35778881812404545
,amenity,48.8570183,2.2898505,0.36810185581162325
,amenity,48.8570816,2.2901238,0.34687215090630824
,amenity,48.8571094,2.2899243,0.3593567961959862
,amenity,48.857116,2.2901517,0.34354246547263884
,amenity,48.8571585,2.2901861,0.3394649982788622
,tourism,48.8572408,2.2902924,0.32893738863766203
,amenity,48.857271,2.2903311,0.3251215328983881
,amenity,48.8572593,2.2911077,0.27270548011472023
,tourism,48.8573014,2.2903701,0.3212924190901965
,amenity,48.8573855,2.290813,0.28753680966624023
,amenity,48.8625507,2.3008197,0.6653412444490281
,amenity,48.8626592,2.3010957,0.6881347832297781
,amenity,48.8626522,2.3012517,0.6956852973802475
Guichet Transilien,amenity,48.8625524,2.3011421,0.6821705379370813
,amenity,48.8626689,2.3008066,0.6741700111472807
,amenity,48.8592703,2.2881865,0.476749414094184
Subway,amenity,48.8542704,2.2893594,0.5823818102793026
Yes’N’You,amenity,48.8541868,2.2958695,0.46396212312461305
,amenity,48.8586583,2.2972085,0.20358217375058532
,amenity,48.8577765,2.3005618,0.4480050919440781
,amenity,48.861713,2.2982547,0.4725917526337868
,amenity,48.8608293,2.2903781,0.41611261486347934
,amenity,48.8608361,2.2903148,0.42001674722366694
,amenity,48.8608776,2.2903028,0.42381756560607264
,amenity,48.8609053,2.2904913,0.4160464350308868
,amenity,48.8609245,2.2902267,0.4314582573125579
,amenity,48.8609326,2.2901635,0.4354549784564994
,amenity,48.8609456,2.290478,0.4199127290980327
,amenity,48.8609538,2.2904139,0.42387613453658585
,amenity,48.8609746,2.290151,0.43932207277918284
,amenity,48.8610007,2.2903396,0.4314192333743642
,amenity,48.861022,2.2900749,0.44700094309385574
,amenity,48.8610294,2.2900123,0.45091078260090783
,amenity,48.8610426,2.2903273,0.4353579856536388
,amenity,48.8610501,2.2902662,0.43911204265127984
,amenity,48.8610701,2.2899999,0.4546746733804257
,amenity,48.8610982,2.2901902,0.44683772203834543
,amenity,48.8611183,2.2899249,0.462356068368252
,amenity,48.8611254,2.2898631,0.46619882225333975
,amenity,48.8611396,2.2901768,0.4507930692519372
,amenity,48.8611464,2.2901151,0.45452454562255584
,amenity,48.8611664,2.2898498,0.47003516550729385
,amenity,48.8611934,2.2900397,0.4621327645251011
,amenity,48.8612141,2.2897745,0.47769433820055124
,amenity,48.8612211,2.2897136,0.48148029297192546
,amenity,48.8612455,2.2899646,0.4701258332155036
,amenity,48.8612497,2.2892815,0.5071560991536832
,amenity,48.8612622,2.2896994,0.48537345656274083
,amenity,48.8612824,2.2892324,0.5122607263096344
,amenity,48.8612896,2.289889,0.4775168400773269
,amenity,48.8613108,2.2896257,0.49301630613981656
,amenity,48.8613058,2.2892652,0.5121641887712421
,amenity,48.8613175,2.2895657,0.4967295721763358
,amenity,48.8613333,2.2898734,0.48176402596423873
,amenity,48.8613291,2.2892979,0.5120902285004735
,amenity,48.86134,2.2898139,0.48537637021927516
,amenity,48.8613524,2.2893307,0.5120351793181648
